Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

DGND       TP_SMD_1_5mm          2480mil       2329mil       2480mil       2329mil       2480mil       2329mil  B        180.00 Comment        
P1         HDR1X4                2708mil       3291mil       2858mil       3291mil       2858mil       3291mil  T        180.00 SWD            
Q1         TO252             2857.953mil        520mil       2730mil        520mil       2730mil        520mil  B        270.00 AOD4185        
Q2         TO252             1887.953mil        535mil       1760mil        535mil       1760mil        535mil  B        270.00 AOD4185        
Q3         SO8                   1790mil       1550mil       1790mil       1550mil       1715mil   1455.512mil  T         90.00 FDS2582        
Q4         LC_SMD-4              2140mil        810mil       2140mil        810mil   2323.071mil        760mil  T        180.00 EL817S(B)      
Q5         LC_SMD-4              3145mil        800mil       3145mil        800mil   3328.071mil        750mil  T        180.00 EL817S(B)      
Q6         SOT-23             3468.74mil   1002.402mil       3515mil        965mil       3515mil        965mil  T         90.00 CJ3400         
Q7         SOT-23             3266.26mil   1022.598mil       3220mil       1060mil       3220mil       1060mil  T        270.00 CJ3400         
Q8         SOT-23            2737.598mil    1298.74mil       2775mil       1345mil       2775mil       1345mil  T        180.00 CJ3401         
Q9         SOT-23            2942.598mil    1303.74mil       2980mil       1350mil       2980mil       1350mil  T        180.00 CJ3400         
R1         R0603                 3025mil        620mil       3025mil        620mil       3025mil    650.315mil  T        270.00 5.1k           
R2         R0603                 1955mil        625mil       1955mil        625mil       1955mil    655.315mil  T        270.00 5.1k           
R3         R0603                 2950mil        620mil       2950mil        620mil       2950mil    650.315mil  T        270.00 10k            
R4         R0603                 2030mil        625mil       2030mil        625mil       2030mil    655.315mil  T        270.00 10k            
R7         R0603                 3470mil        665mil       3470mil        665mil   3439.685mil        665mil  T        360.00 1k             
R9         R0603                 2565mil        725mil       2565mil        725mil   2534.685mil        725mil  T        360.00 5.1K           
R8         R0603                 3289mil       1166mil       3289mil       1166mil       3289mil   1196.315mil  T        270.00 0R             
R14        R0603                 3265mil        290mil       3265mil        290mil   3234.685mil        290mil  T        360.00 0R             
R12        R0603                 3470mil        740mil       3470mil        740mil   3500.315mil        740mil  T        180.00 10k            
R13        R0603                 3215mil       1165mil       3215mil       1165mil       3215mil   1195.315mil  T        270.00 10k            
